,PDB,RFree,Rwork,Resolution,Spacegroup
13445,3qxg,0.182,,1.24,C 1 2 1
13446,4ld7,0.20211,,2.83,P 1 21 1
13447,3tgg,0.2286,,1.91,C 1 2 1
13448,5vtx,0.217,,2.65,C 1 2 1
13449,1kwx,0.229,,2.0,C 1 2 1
13450,5ak6,0.248,,2.15,P 65 2 2
13451,3cpw,0.23,,2.7,C 2 2 21
13452,3i23,0.209,,2.3,P 3
13453,6ac3,0.2711,,3.6,P 31 2 1
13454,3ang,0.263,,2.25,P 21 21 21
13455,1t8t,0.236,,1.85,C 2 2 21
13456,7l4f,0.2504,,2.55,C 1 2 1
13457,1bm3,,,2.0,A 1 2 1
13458,2a6v,0.218,,1.52,P 1 21 1
13459,2bii,0.212,,1.7,C 2 2 21
13460,4lks,0.2012,,1.5,P 21 21 21
13461,2z0n,0.259,,1.95,P 21 21 2
13462,4b32,0.2276,,1.5,P 1 21 1
13463,6lgf,0.2163,,1.85,P 21 21 21
13464,5z4u,0.23515,,3.18,P 21 21 21
13465,6ap4,0.287,,2.95,P 1 21 1
13466,5a24,0.172,,1.5,C 1 2 1
13467,6a9b,0.1915,,2.01,I 2 2 2
13468,4ckl,0.2248,,2.05,C 1 2 1
13469,8qvg,0.2546,,2.2,P 65 2 2
13470,3ksq,0.219,,2.1,P 61
13471,3kzn,0.212,,1.8,I 21 3
13472,9ff9,0.3149,,2.19,P 1
13473,1w5p,0.185,,1.55,P 4 21 2
13474,6z03,0.2413,,2.2,P 1 21 1
13475,8ah7,0.1976,,1.25,P 21 21 21
13476,7cqc,0.2575,,2.5,P 21 21 21
13477,8qap,0.1858,,1.4,P 21 21 21
13478,7llh,0.2192,,2.1,P 1
13479,2yys,0.20835,,2.2,P 32 2 1
13480,5lnc,0.302,,3.29,I 21 21 21
13481,4agu,0.226,,2.4,P 32
13482,6ymg,0.2662,,3.14,P 61 2 2
13483,2w0d,0.23683,,2.0,P 1 21 1
13484,2qkx,0.251,,2.75,H 3 2
13485,3kxw,0.231,,1.85,P 1 21 1
13486,5qg3,0.2011,,1.65,P 31 2 1
13487,7w2b,0.2691,,3.2,P 1 21 1
13488,5fia,0.1901,,1.75,P 1 21 1
13489,5cs7,0.2384,,2.1,I 1 2 1
13490,4fcx,0.2858,,3.0,P 21 21 21
13491,7w5t,0.189,,1.74,P 21 21 21
13492,3qgw,0.32,,2.1,C 1 2 1
13493,8w2d,0.2569,,2.7,P 1 21 1
13494,6yvs,0.2146,,1.81,C 1 2 1
13495,8fa7,0.1976,,1.8,P 21 21 21
13496,2ael,0.251,,2.5,P 31 2 1
13497,3ln5,0.241,,1.9,P 21 21 21
13498,2kzz,0.251,,2.25,P 43
13499,1qhz,0.206,,1.95,P 43 21 2
13500,3krd,0.229,,2.5,P 1 21 1
13501,2bb7,0.233,,1.7,P 1 21 1
13502,2qpy,0.269,,2.5,P 21 21 21
13503,7bfu,0.2205,,1.65,P 21 21 21
13504,1tdw,0.237,,2.1,C 2 2 21
13505,7qd7,0.2361,,2.06,P 21 21 21
13506,2i5e,0.24866,,2.1,P 1 21 1
13507,7qmd,0.2101,,1.79,P 1 21 1
13508,6w41,0.243,,3.08,P 41 2 2
13509,4qy4,0.279,,1.97,P 31
13510,5b3n,0.2439,,1.94,P 41 3 2
13511,1t4d,0.25,,1.95,P 21 21 2
13512,4ajl,0.1828,,1.77,P 1 21 1
13513,7w12,0.2343,,2.25,P 3 1 2
13514,5te5,0.357,,4.01,P 31 2 1
13515,3a4g,0.23624,,1.75,P 31
13516,2f78,0.2416,,2.05,P 21 21 21
13517,3qsi,0.30361,,3.08,C 1 2 1
13518,4l0j,0.228,,1.85,P 43 21 2
13519,7aux,0.2455,,2.05,P 21 21 21
13520,7ayg,0.2078,,1.9,P 21 21 21
13521,120l,,,1.8,P 32 2 1
13522,1qg6,0.207,,1.9,P 1 21 1
13523,8bga,0.2372,,1.98,P 1 21 1
13524,7ahu,0.2633,,2.6,P 1 21 1
13525,3lcj,0.2593,,2.1,H 3 2
13526,3vto,0.19458,,1.44,P 1 21 1
13527,3b28,0.1806,,1.35,C 1 2 1
13528,3blc,0.24897,,2.5,I 41 2 2
13529,2b0r,0.2669,,2.6,P 1 21 1
13530,1ywq,0.242,,2.3,P 31 2 1
13531,2w3e,0.23404,,1.6,P 21 21 21
13532,5ce0,0.229,,2.3,P 1 21 1
13533,3ln8,0.192,,1.61,P 21 21 21
13534,8w14,0.2086,,1.6,P 43 21 2
13535,5qg5,0.2259,,2.07,P 31 2 1
13536,6fet,0.19932,,1.88,P 21 21 21
13537,1aaz,,,2.0,P 1 21 1
13538,3l4r,0.168,,1.45,C 2 2 21
13539,6kyx,0.2496,,2.0,P 64 2 2
13540,7blb,0.2263,,2.3,P 31 2 1
13541,4fee,,,1.13,C 2 2 21
13542,5i4y,0.211,,1.61,P 43 21 2
13543,6bgt,0.2475,,2.7,P 21 21 21
13544,7yw1,0.3002,,3.27,P 21 21 21
13545,3atg,0.1664,,1.66,P 43
13546,4ayo,0.10478,,0.85,H 3
13547,4qbb,0.201,,1.6,P 1 21 1
13548,5adz,0.2534,,2.2,P 1
13549,2vyr,0.248,,2.0,P 1 21 1
13550,1l08,,,1.7,P 32 2 1
13551,2qdx,0.19,,1.55,P 21 21 2
13552,5idi,0.2147,,1.9,P 21 21 21
13553,6ckc,0.214,,2.8,I 2 2 2
13554,7ab6,0.2132,,1.9,P 21 21 2
13555,8a27,0.1599,,1.07,C 1 2 1
13556,1ba7,0.223,,2.5,P 1
13557,3i7i,0.314,,2.21,C 1 2 1
13558,9bi2,0.2359,,2.15,P 21 21 21
13559,5vvf,0.247,,2.0,P 32 2 1
13560,1vwe,0.246,,1.5,I 41 2 2
13561,3bey,0.258,,2.4,P 1 21 1
13562,2qmw,0.276,,2.3,P 21 21 2
13563,7qom,0.1843,,1.45,P 41 21 2
13564,6lhx,0.2727,,2.5,C 1 2 1
13565,2f5f,0.257,,2.4,P 1 21 1
13566,1qw5,0.264,,2.7,P 61 2 2
13567,3t22,0.274,,2.2,P 1
13568,2qvz,0.266,,2.5,P 32 2 1
13569,6lfd,0.2391,,1.92,P 21 21 21
13570,2ymu,0.2068,,1.79,P 21 21 21
13571,2ahp,0.263,,2.0,C 1 2 1
13572,7bgz,0.2663,,2.4,P 32 2 1
13573,5qks,0.285,,2.12,C 1 2 1
13574,4b10,0.2383,,1.56,P 21 21 21
13575,4aps,0.2895,,3.3,P 21 21 21
13576,8cs2,0.1997,,6.0,P 63
13577,5ld9,0.189,,1.73,P 1
13578,2ciq,0.219,,1.7,P 21 21 2
13579,3fj2,0.186,,1.85,P 61 2 2
13580,4qt6,0.212,,1.64,I 2 3
13581,2a9d,0.187,,1.7,P 1 21 1
13582,4f5u,0.24294,,2.04,P 61
13583,5t1y,0.279,,2.05,P 1
13584,3bd0,0.28,,3.01,P 21 21 2
13585,8iaa,0.2278,,2.1,P 43 21 2
13586,4a4j,0.1799,,1.25,P 1 21 1
13587,4feh,0.2196,,2.04,P 64
13588,6qx6,0.211,,1.65,P 1 21 1
13589,6ain,0.2458,,2.48,P 21 21 21
13590,6ap8,0.154,,1.27,P 21 21 21
13591,4z5p,0.217,,1.9,P 1 21 1
13592,7l0i,0.2529,,2.02,P 21 21 21
13593,7w3u,0.2452,,3.13,P 21 21 2
13594,7bkf,0.2054,,1.14,P 21 21 21
13595,4qg8,0.2601,,2.3,P 1 21 1
13596,6bcb,0.1649,,1.4,P 1 21 1
13597,4kv4,0.2578,,2.0,P 21 21 2
13598,2i17,,,0.81,P 1 21 1
13599,6az6,0.2289,,1.91,C 1 2 1
13600,4l1o,0.22513,,2.3,P 21 21 21
13601,4qeq,0.182,,1.38,P 43 21 2
13602,8tj9,0.1854,,1.9,H 3 2
13603,3ayr,0.21575,,2.0,P 61 2 2
13604,5lb5,0.282,,2.0,P 1
13605,6yve,0.2263,,2.1,P 43 21 2
13606,8b8u,0.2594,,1.5,P 1
13607,6qwq,0.2328,,1.9,P 62
13608,3t92,0.2279,,1.5,P 65
13609,5lcz,0.2683,,2.33,C 1 2 1
13610,3vu4,0.252,,2.6,P 65 2 2
13611,5alr,0.238,,2.6,P 65 2 2
13612,4f6c,0.243,,2.81,P 21 21 21
13613,4l19,0.199,,1.66,C 1 2 1
13614,2cn2,0.21,,2.1,P 1 21 1
13615,5lhn,0.2191,,2.55,P 31 2 1
13616,5ks2,0.249,,2.18,P 43 21 2
13617,7quk,0.2304,,1.47,P 65 2 2
13618,4f99,0.2415,,2.33,P 41 21 2
13619,8qy0,0.19731,,1.9,P 43 21 2
13620,6w0z,0.195,,2.3,P 21 21 21
13621,3w92,0.1895,,1.35,P 21 21 21
13622,4tk1,0.264,,2.7,P 21 21 2
13623,5ibd,0.1868,,1.77,P 65 2 2
13624,5z0q,0.2669,,2.77,P 1
13625,6i4i,0.217,,1.9,P 21 2 21
13626,7b6p,0.2392,,1.68,P 1
13627,5qul,0.2308,,1.28,P 1 21 1
13628,5f6f,0.226,,1.75,H 3
13629,5t7r,0.217,,1.55,P 21 3
13630,8qfl,0.2124,,1.75,P 21 21 21
13631,5ksx,0.243,,2.65,P 41 21 2
13632,2a4l,0.27,,2.4,P 21 21 21
13633,2b01,0.233,,2.2,P 31 2 1
13634,5tfn,0.259,,3.0,P 41 21 2
13635,2qvr,0.242,,2.18,I 2 2 2
13636,5cfg,0.2041,,1.8,C 1 2 1
13637,5aip,0.2602,,2.3,P 43 21 2
13638,1qku,0.275,,3.2,P 32 2 1
13639,6b6b,0.2449,,1.8,P 1 21 1
13640,5age,0.2352,,2.0,P 1 21 1
13641,6qmk,0.20077,,1.72,P 61
13642,2acf,0.1892,,1.4,P 21 21 21
13643,5fa7,0.2065,,1.67,P 1 21 1
13644,6i2q,0.191,,2.15,C 2 2 21
13645,3t8g,0.156,,1.5,P 61 2 2
13646,4wa0,0.1941,,1.7,P 21 21 21
13647,6yze,0.2659,,2.18,P 21 21 21
13648,2yp3,0.203,,1.88,R 3 2 :H
13649,1wac,0.28,,3.0,P 1 21 1
13650,1yz9,0.238,,2.1,P 1 21 1
13651,3cr5,0.243,,1.85,P 41 21 2
13652,6bqc,0.205,,2.07,C 2 2 21
13653,3i59,0.284,,2.29,C 1 2 1
13654,2z3g,0.199,,1.5,P 21 21 21
13655,2b8i,0.232,,1.8,F 2 2 2
13656,2bde,0.267,,2.9,I 41 2 2
13657,8aco,0.2778,,2.65,P 21 21 21
13658,7b12,0.2245,,2.43,P 1 21 1
13659,5i0l,0.253,,2.45,P 1 21 1
13660,1fj4,0.253,,2.35,P 21 21 21
13661,6bgq,0.224,,1.97,C 1 2 1
13662,2ciu,0.2483,,1.6,P 21 21 21
13663,7kzw,0.1888,,1.34,P 62
13664,8qjb,0.2268,,3.09,P 1 21 1
13665,3ayi,0.131,,1.25,P 21 21 21
13666,8t2n,0.2635,,1.88,C 1 2 1
13667,6bin,0.238022,,2.5,C 2 2 21
13668,5qhl,0.2171,,1.68,P 1 21 1
13669,8akf,0.225,,1.97,P 63
13670,6l1c,0.1909,,1.58,P 41
13671,8a6v,0.2029,,1.9,P 1 21 1
13672,9bkc,0.2391,,2.49,P 43
13673,5i35,0.25887,,2.3,C 1 2 1
13674,4qy2,0.2295,,2.4,P 1
13675,8f7z,0.2428,,2.7,P 21 21 21
13676,1tks,0.219,,1.6,P 1
13677,6bi8,0.215,,2.29,H 3
13678,7b0g,0.2427,,3.0,P 21 21 21
13679,4yty,0.2211,,2.2,P 21 21 21
13680,3a79,0.28,,2.9,P 61 2 2
13681,6i06,0.2289,,2.0,P 32
13682,3bj4,0.25492,,2.0,P 31 2 1
13683,5tfq,0.134,,1.07,P 21 21 21
13684,6qxv,0.2269,,1.94,P 43 21 2
13685,6afk,0.2488,,2.75,P 32 2 1
13686,8fhb,0.05,,1.95,C 2 2 21
13687,8w70,0.2211,,2.5,P 21 21 2
13688,7qkb,0.203,,1.8,P 1
13689,7vyx,0.2924,,3.2,P 1 21 1
13690,5qlp,0.2956,,2.52,C 1 2 1
13691,5yzl,0.2512,,3.4,P 21 21 21
13692,6chw,0.25694,,1.89,P 65 2 2
13693,2vy6,0.258,,1.95,P 1 21 1
13694,6lna,0.1857,,1.7,I 1 2 1
13695,1tau,0.305,,3.0,P 31 2 1
13696,254d,0.186,,1.9,C 2 2 21
13697,6cso,0.271,,3.2,C 2 2 21
13698,5yxc,0.2341,,1.76,P 1 21 1
13699,2w4q,0.223,,2.0,C 1 2 1
13700,313d,0.287,,1.68,P 21 21 21
13701,1l7p,0.266,,1.9,P 21 21 2
13702,1ibu,0.3296,,3.1,C 2 2 21
13703,5b0u,0.2264,,1.71,P 42 21 2
13704,4lex,0.2185,,2.02,P 21 2 21
13705,5cqf,0.23263,,2.28,I 2 2 2
13706,8t71,0.2115,,1.8,C 1 2 1
13707,5thj,0.189,,1.5,P 1 21 1
13708,6yvl,0.1576,,1.25,C 2 2 21
13709,4yxg,0.2243,,1.9,P 1 21 1
13710,4b98,0.2598,,1.65,P 21 21 21
13711,6ce1,0.274,,2.8,H 3 2
13712,6an8,0.2166,,2.6,P 1 21 1
13713,5akz,0.235,,2.18,P 65 2 2
13714,7qh5,0.2698,,2.2,C 2 2 21
13715,3ab0,0.26471,,3.09,P 21 3
13716,6b8l,0.2456,,2.3,I 2 2 2
13717,5aoj,0.1783,,1.47,P 21 21 21
13718,2f9g,0.26,,2.1,P 21 21 21
13719,6cnp,0.2177,,2.1,P 1
13720,4bcu,0.19821,,2.29,C 1 2 1
13721,5qzn,0.21433,,1.44,C 1 2 1
13722,4qjd,0.2874,,3.1,P 1 21 1
13723,8b7u,0.2245,,2.8,I 21 21 21
13724,6yw9,0.1744,,1.68,P 21 21 21
13725,1la2,0.28,,2.65,P 21 21 2
13726,5l42,0.2138,,2.1,P 21 21 21
13727,2ces,0.247,,2.15,P 21 21 21
13728,7clz,0.2468,,2.1,P 21 21 21
13729,2aa6,0.225,,1.95,P 21 21 21
13730,4bb3,0.1884,,1.4,P 21 21 21
13731,8qd5,0.19597,,1.8,C 2 2 21
13732,5l2q,0.28,,2.53,P 1 21 1
13733,4l1a,0.26003,,1.9,P 41
13734,4q9t,0.268,,3.0,C 2 2 21
13735,3i09,0.174,,1.8,P 1 21 1
13736,2f7q,0.19,,1.85,P 21 21 21
13737,5w1k,0.288,,3.99,P 1 21 1
13738,7b38,0.2413,,1.85,P 32 2 1
13739,6aj6,0.3086,,3.2,P 1 21 1
13740,5cki,0.3109,,2.98,P 43 21 2
13741,5aw7,0.293,,2.9,C 1 2 1
13742,7aid,0.2501,,3.15,P 1 21 1
13743,4yzb,0.284,,2.9,P 1 21 1
13744,1lnc,,,1.8,P 61 2 2
13745,3a0h,0.326,,4.0,P 21 21 21
13746,5qct,0.197,,2.05,P 1 21 1
13747,4faf,0.23987,,2.1,P 21 21 21
13748,5cg1,0.247,,2.07,P 61 2 2
13749,8i2d,0.1837,,1.31,P 43 21 2
13750,2a2x,0.221,,2.44,C 1 2 1
13751,7fbo,0.2537,,2.56,I 2 2 2
13752,2vy9,0.28,,2.3,P 21 21 21
13753,5l6d,0.192,,1.85,P 32 2 1
13754,3hzu,0.249,,2.1,P 21 21 2
13755,3a2y,0.2297,,1.95,P 64 2 2
13756,4a9u,0.2138,,2.48,P 32 2 1
13757,1ae8,,,2.0,C 1 2 1
13758,3ate,0.3245,,3.2,I 4 2 2
13759,4ahq,0.23809,,1.95,P 21 21 21
13760,6vwv,0.2793,,3.0,P 1
13761,6iah,0.2255,,1.75,P 21 21 2
13762,6kwd,0.1628,,1.3,P 21 21 21
13763,4aiu,0.2467,,2.25,C 1 2 1
13764,5yoa,0.2212,,2.33,C 2 2 21
13765,8f9l,0.265,,1.79,P 21 21 21
13766,4qwc,0.277,,2.4,P 21 21 21
13767,5kw6,0.226,,1.91,P 31
13768,4l9s,0.1729,,1.61,H 3 2
13769,5lm4,0.259,,3.1,P 63
13770,6qr5,0.2184,,1.81,P 21 21 21
13771,4llm,0.2201,,1.75,P 21 21 21
13772,7t27,0.1972,,1.2,P 41 21 2
13773,4fi4,0.2038,,2.0,I 4 2 2
13774,1bq6,0.2116,,1.56,P 32 2 1
13775,4b90,0.2208,,2.2,P 41 21 2
13776,3l66,0.164,,1.28,I 2 2 2
13777,6tfa,0.2785,,2.16,P 21 21 21
13778,3kzg,0.262,,2.06,P 21 21 21
13779,2hxp,0.246,,1.83,P 32
13780,1lon,0.271,,2.1,P 43 21 2
13781,3t1u,0.238,,2.0,P 42 21 2
13782,2w7z,0.222,,1.6,P 1 21 1
13783,2bnq,0.253,,1.7,P 1 21 1
13784,7yv1,0.2772,,1.45,P 21 21 21
13785,3qdr,0.273,,2.65,P 21 21 2
13786,8qfh,0.197,,1.8,C 2 2 21
13787,6vv0,0.2165,,3.0,H 3 2
13788,6ktc,0.274,,2.01,P 62
13789,7tix,0.2149,,2.0,C 1 2 1
13790,3bno,0.255,,2.35,P 1
13791,4qx0,0.1918,,2.8,C 2 2 21
13792,7wa2,0.1775,,1.52,P 21 21 21
13793,6a6p,0.2278,,2.1,P 1 21 1
13794,6b4n,0.196,,1.3,P 21 21 2
13795,5tii,0.234,,2.6,P 1 21 1
13796,1l02,,,1.7,P 32 2 1
13797,1fh8,0.224,,1.95,P 41 21 2
13798,5t9b,0.216,,1.62,P 21 21 21
13799,8z10,0.27505,,2.35,C 2 2 21
13800,5al2,0.2186,,1.9,C 2 2 21
13801,2ale,0.248,,1.8,P 31 2 1
13802,2blx,0.169,,1.4,P 43 21 2
13803,3lb8,0.272,,2.6,P 21 21 21
13804,8tce,0.18291,,1.07,P 1 21 1
13805,5z43,0.24,,2.36,P 41
13806,3hyt,0.29398,,2.74,P 1 21 1
13807,4lml,0.3017,,3.8,P 21 21 21
13808,4lfp,0.236,,1.72,P 43 21 2
13809,3tkc,0.183,,1.75,P 21 21 21
13810,3ib3,0.24951,,2.05,C 2 2 21
13811,5bjt,0.339,,3.2,I 2 2 2
13812,6tbr,0.246,,1.7,P 1
13813,2bi2,0.228,,1.69,P 21 21 2
13814,4qut,0.1795,,1.7,P 65 2 2
13815,6hx1,0.2676,,2.14,C 1 2 1
13816,2bip,0.235,,1.8,P 65 2 2
13817,3w7a,0.2395,,2.1,C 1 2 1
13818,3vxv,0.2235,,2.0,C 2 2 21
13819,6f52,0.2465,,2.0,P 1 21 1
13820,5qr7,0.2349,,1.74,C 1 2 1
13821,6i6e,0.1627,,1.2,P 41 21 2
13822,5qm7,0.281,,2.04,C 1 2 1
13823,8bk2,0.2696,,2.41,P 1 21 1
13824,2yqy,0.25738,,2.0,P 41 21 2
13825,3a7s,0.255,,2.2,C 1 2 1
13826,8hzu,0.2037,,1.8,C 1 2 1
13827,5l74,0.203,,1.36,C 1 2 1
13828,3i5u,0.227,,2.6,P 65
13829,5kqr,0.189,,1.33,C 1 2 1
13830,6cs8,0.2205,,1.75,P 1 21 1
13831,1i76,0.171,,1.2,P 21 21 21
13832,6b0q,0.2408,,2.79,P 63
13833,4lmv,0.25,,3.2,C 2 2 21
13834,3amn,0.197,,1.47,P 21 21 21
13835,4l91,0.2112,,1.75,I 2 2 2
13836,6lii,0.2027,,2.3,P 32 2 1
13837,2b7b,0.291,,2.6,P 21 21 21
13838,1f8f,0.263,,2.2,I 2 2 2
13839,1z40,0.236,,1.9,P 31
13840,5f8b,0.2467,,2.54,P 65 2 2
13841,3i15,0.186,,1.55,C 1 2 1
13842,5ar3,0.25426,,3.23,P 32 2 1
13843,5qfr,0.223,,1.62,P 31 2 1
13844,5til,0.275,,2.83,P 21 21 21
13845,1acj,,,2.8,P 31 2 1
13846,8f7i,0.2179,,1.58,P 43 21 2
13847,4hze,0.1979,,1.6,P 42 21 2
13848,8hxq,0.2735,,2.4,P 41 21 2
13849,4bqj,0.22089,,2.0,P 1 21 1
13850,8alj,0.2297,,1.68,P 21 21 21
13851,5qsv,0.2639,,2.76,P 1
13852,3iaw,0.224,,1.61,P 21 21 21
13853,8b1y,0.1499,,1.12,P 21 21 21
13854,1acc,0.296,,2.1,P 21 21 21
13855,8bm2,0.2021,,1.5,I 1 2 1
13856,5ku5,0.2864,,2.15,P 2 21 21
13857,3qo0,0.221,,2.3,P 1 21 1
13858,2qmj,0.215,,1.9,P 21 21 21
13859,3far,0.284,,2.4,P 21 21 2
13860,2qsy,0.263,,1.95,C 2 2 21
13861,5fg0,0.2117,,2.41,P 1 21 1
13862,3cga,0.331,,2.03,P 65
13863,4qkb,0.181,,2.6,P 1 21 1
13864,1w2c,0.243,,1.95,C 2 2 21
13865,1t67,0.2737,,2.31,P 31 2 1
13866,2bis,0.266,,2.8,C 1 2 1
13867,2a41,0.219,,2.6,P 21 21 21
13868,4w6g,0.27,,3.02,P 61
13869,8bjl,0.1256,,0.97,P 1 21 1
13870,5b38,0.2506,,2.3,P 1
13871,8hy6,0.1643,,1.4,P 21 21 21
13872,4f8o,0.2863,,1.9,P 2 2 21
13873,3w8h,0.2644,,2.43,P 65 2 2
13874,5qax,0.2092,,2.31,P 1 21 1
13875,5fbv,0.2814,,3.29,P 21 21 21
13876,8tcx,0.2156,,1.72,C 1 2 1
13877,3ank,0.209,,2.02,C 1 2 1
13878,1bgn,,,2.0,C 2 2 21
13879,6t78,0.2578,,2.5,P 61
13880,1ym7,0.2787,,4.5,P 1 2 1
13881,6i6u,0.2563,,1.57,C 1 2 1
13882,5qqb,0.2302,,1.58,P 61 2 2
13883,5loe,0.3016,,3.0,P 21 21 2
13884,1bg3,0.251,,2.8,P 1 21 1
13885,6til,0.1997,,1.42,P 21 21 2
13886,6a1o,0.2994,,2.49,P 65
13887,7a8i,0.2284,,2.0,P 21 21 21
13888,3fis,,,2.3,P 21 21 21
13889,7fi7,0.2459,,2.78,I 4 2 2
13890,3ti3,0.214,,1.8,C 2 2 21
13891,1t2w,0.23,,1.8,P 1 21 1
13892,1t6g,0.1917,,1.8,P 32
13893,7l79,0.2795,,2.83,P 21 21 21
13894,4lds,0.3412,,3.2,I 1 2 1
13895,1yzq,0.26488,,1.78,P 21 21 21
13896,4qv9,0.218,,2.6,P 1 21 1
13897,7l62,0.1668,,1.55,P 1 21 1
13898,8crv,0.1964,,1.6,P 43 21 2
13899,5ado,0.199,,1.55,P 1 21 1
13900,5ia5,0.2437,,1.78,P 21 21 2
13901,6tee,0.2372,,2.2,P 31 2 1
13902,4ym4,0.239,,3.12,P 42 3 2
13903,5a7h,0.22163,,2.01,H 3
13904,3qwh,0.24,,2.62,P 1 21 1
13905,4ky4,0.268,,2.79,P 1
13906,6a19,0.1734,,1.55,I 4 2 2
13907,5f92,0.1808,,1.86,C 1 2 1
13908,1yms,0.193,,1.6,P 1 21 1
13909,6bmh,0.2799,,2.3,P 1 21 1
13910,3l2x,0.232,,1.8,P 32 2 1
13911,6b51,0.243,,2.05,C 2 2 21
13912,2a78,0.217,,1.81,P 1 21 1
13913,6z2h,0.1923,,1.8,P 21 21 21
13914,5qnr,0.23,,1.75,C 1 2 1
13915,1ym8,0.256,,1.55,P 1 21 1
13916,1bhe,0.239,,1.9,C 1 2 1
13917,3cf5,0.318,,3.3,I 2 2 2
13918,8hzj,0.2587,,2.6,C 1 2 1
13919,1l13,,,1.7,P 32 2 1
13920,1t4c,0.2731,,2.61,P 43 21 2
13921,2b05,0.30175,,2.55,P 41 21 2
13922,4yts,0.255,,2.14,P 1 21 1
13923,6lga,0.1855,,1.85,P 21 21 21
13924,5bkc,0.201,,1.8,P 21 21 2
13925,8t73,0.1879,,1.5,P 3
13926,8w1n,0.284,,1.6,P 21 21 2
13927,6z0o,0.2722,,2.6,P 1 21 1
13928,5tjb,0.252,,2.4,P 4 21 2
13929,5z0c,0.1881,,1.54,P 21 21 2
13930,5fbx,0.2666,,1.85,P 21 21 21
13931,8vyl,0.2659,,2.02,C 1 2 1
13932,3asd,0.325,,2.45,P 43 2 2
13933,5i8g,0.2105,,1.41,C 1 2 1
13934,3i71,0.23,,2.1,P 61 2 2
13935,4qbw,0.2385,,1.91,P 31 2 1
13936,6bc9,0.196,,1.8,P 1 21 1
13937,1qg0,0.273,,2.5,P 21 21 21
13938,7lme,0.2405,,2.1,P 1 21 1
13939,4fid,0.258,,2.62,P 21 21 21
13940,4bky,0.2229,,1.83,P 21 21 21
13941,6fby,0.1798,,1.5,P 21 21 21
13942,6b2u,0.23,,2.04,P 32 2 1
13943,5qr4,0.2381,,1.57,C 1 2 1
13944,2ick,0.255,,1.93,P 21 21 21
13945,4f69,0.2334,,1.6,P 21 21 21
13946,5chl,0.231,,1.89,P 41 21 2
13947,2vxh,0.25486,,2.1,P 21 21 2
13948,5i8q,0.2861,,4.2,P 21 21 2
13949,5thq,0.2166,,2.3,P 1 21 1
13950,6w45,0.1864,,1.7,I 4
13951,2aek,0.254,,2.9,P 31 2 1
13952,4yo1,0.2754,,2.8,H 3
13953,6q9g,0.231,,2.1,P 21 21 21
13954,5ype,0.269,,2.85,I 2 3
13955,4yuj,0.156,,1.42,P 21 21 21
13956,2qqs,0.283,,2.82,P 1 21 1
13957,3kxm,0.282,,1.75,C 1 2 1
13958,1ta8,0.225,,1.8,C 1 2 1
13959,5i36,0.165,,5.12,P 1
13960,3b8o,0.26562,,2.4,P 1 21 1
13961,2fj1,0.2147,,2.2,I 41 2 2
13962,6kyv,0.2741,,3.0,P 21 21 21
13963,6b2a,0.243,,2.65,P 41
13964,1w0h,0.202,,1.59,P 61 2 2
13965,3fj4,0.234,,1.8,P 4 21 2
13966,7ysf,0.2533,,2.4,P 21 21 21
13967,6fg5,0.2451,,2.35,P 31 2 1
13968,4ksa,0.279,,2.7,P 21 21 2
13969,3kxh,0.266,,1.7,C 1 2 1
13970,6l40,0.2081,,2.21,P 32
13971,4fdj,0.2509,,2.81,P 1 21 1
13972,4l4o,0.23557,,2.05,P 21 21 21
13973,5q9p,0.2215,,1.48,P 21 21 21
13974,4cod,0.206,,2.4,P 21 21 21
13975,5a88,0.18869,,2.08,P 32
13976,5a3h,0.186,,1.82,P 21 21 21
13977,6cgo,0.215,,2.0,P 1 21 1
13978,3i03,0.22294,,1.48,C 2 2 21
13979,7f9r,0.1929,,1.83,C 1 2 1
13980,3hx1,0.244,,2.5,P 61 2 2
13981,8f5m,0.2315,,2.4,C 2 2 21
13982,2z2c,0.271,,2.05,P 1
13983,4qlp,0.143,,1.1,P 21 21 21
13984,1akt,,,1.8,P 21 21 2
13985,1al4,,,1.13,P 21 21 21
13986,3fgx,0.279,,2.9,P 43
13987,8bk6,0.3482,,2.26,P 43 21 2
13988,4a0i,0.2522,,2.61,C 1 2 1
13989,1kt1,0.314,,2.8,P 32 2 1
13990,1lhz,0.226,,2.3,P 21 21 21
13991,7fc4,0.1843,,1.5,C 2 2 21
13992,3atl,0.18752,,1.74,P 21 21 21
13993,1lf6,0.232,,2.1,P 21 21 21
13994,6i7i,0.3248,,2.33,P 2 21 21
13995,6l0x,0.1818,,1.3,P 1
13996,7b2j,0.2026,,1.55,C 1 2 1
13997,5i97,0.28,,2.44,C 2 2 21
13998,7akx,0.2132,,1.6,P 1
13999,7bjq,0.2584,,2.7,P 1
14000,8yzt,0.3046,,2.58,P 21 21 21
14001,6hym,0.2175,,1.86,P 43
14002,3r0e,0.235,,2.4,P 41
14003,3i8o,0.2587,,2.64,I 4 2 2
14004,4i8m,0.2529,,2.8,H 3 2
14005,4fcr,0.2428,,1.7,I 2 2 2
14006,3thf,0.2838,,2.7,P 21 21 2
14007,3azl,0.259,,2.7,P 21 21 21
14008,7kqx,0.1798,,1.6,P 21 21 21
14009,5aec,0.2214,,1.93,P 21 21 21
14010,4z4j,0.1877,,1.54,P 21 21 21
14011,6ac0,0.2242,,1.45,P 41 21 2
14012,3a8c,0.19004,,1.85,P 21 21 21
