,PDB,total_residues,altloc_residues,proportion_altlocs
4462,3VY2,23,0,0.0
4463,3VY5,22,0,0.0
4464,3VY7,10,0,0.0
4465,3VYA,16,0,0.0
4466,3VYB,13,0,0.0
4467,3VYD,23,0,0.0
4468,3VYE,22,0,0.0
4469,3VYF,25,0,0.0
4470,3VYP,16,0,0.0
4471,3VYQ,10,0,0.0
4472,3VYV,15,0,0.0
4473,3VZ3,35,0,0.0
4474,3VZB,28,0,0.0
4475,3VZC,19,0,0.0
4476,3VZF,9,0,0.0
4477,3VZG,10,0,0.0
4478,3VZS,24,0,0.0
4479,3VZU,18,0,0.0
4480,3VZY,16,0,0.0
4481,3VZZ,26,0,0.0
4482,3W00,25,0,0.0
4483,3W07,21,5,0.23809523809523808
4484,3W0A,34,0,0.0
4485,3W0C,33,0,0.0
4486,3W0G,30,0,0.0
4487,3W0H,32,3,0.09375
4488,3W0I,30,0,0.0
4489,3W0J,31,0,0.0
4490,3W0L,20,0,0.0
4491,3W0N,18,0,0.0
4492,3W0O,17,0,0.0
4493,3W0P,16,0,0.0
4494,3W0Q,16,0,0.0
4495,3W0R,18,0,0.0
4496,3W0S,17,0,0.0
4497,3W0Y,35,0,0.0
4498,3W10,18,0,0.0
4499,3W16,16,0,0.0
4500,3W18,21,0,0.0
4501,3W1A,31,0,0.0
4502,3W1C,21,0,0.0
4503,3W1D,19,0,0.0
4504,3W1F,24,0,0.0
4505,3W1G,20,0,0.0
4506,3W1H,32,0,0.0
4507,3W1I,29,0,0.0
4508,3W1J,30,0,0.0
4509,3W1K,31,0,0.0
4510,3W1L,31,0,0.0
4511,3W1M,31,0,0.0
4512,3W1N,30,0,0.0
4513,3W1P,30,0,0.0
4514,3W1Q,31,0,0.0
4515,3W1R,31,0,0.0
4516,3W1T,31,0,0.0
4517,3W1V,27,3,0.1111111111111111
4518,3W21,12,0,0.0
4519,3W2C,22,0,0.0
4520,3W2E,23,0,0.0
4521,3W2F,23,0,0.0
4522,3W2G,23,0,0.0
4523,3W2H,23,0,0.0
4524,3W2I,25,0,0.0
4525,3W2K,31,0,0.0
4526,3W2L,31,0,0.0
4527,3W2O,24,0,0.0
4528,3W2P,23,0,0.0
4529,3W2Q,24,0,0.0
4530,3W2R,27,0,0.0
4531,3W2S,28,0,0.0
4532,3W2V,17,0,0.0
4533,3W32,28,0,0.0
4534,3W33,26,0,0.0
4535,3W34,17,0,0.0
4536,3W37,3,3,1.0
4537,3W38,3,0,0.0
4538,3W3A,27,0,0.0
4539,3W3S,26,0,0.0
4540,3W3Z,33,0,0.0
4541,3W4I,45,0,0.0
4542,3W4J,45,0,0.0
4543,3W4K,45,0,0.0
4544,3W4Y,30,0,0.0
4545,3W51,12,0,0.0
4546,3W54,20,0,0.0
4547,3W55,21,0,0.0
4548,3W58,12,0,0.0
4549,3W5A,19,0,0.0
4550,3W5B,18,0,0.0
4551,3W5E,24,0,0.0
4552,3W5H,26,32,1.2307692307692308
4553,3W5J,13,0,0.0
4554,3W5O,22,0,0.0
4555,3W5P,22,0,0.0
4556,3W5Q,25,0,0.0
4557,3W5R,29,0,0.0
4558,3W5T,30,0,0.0
4559,3W5U,23,0,0.0
4560,3W5V,20,0,0.0
4561,3W5W,16,0,0.0
4562,3W5Z,12,0,0.0
4563,3W60,13,0,0.0
4564,3W61,13,0,0.0
4565,3W62,14,12,0.8571428571428571
4566,3W66,12,0,0.0
4567,3W67,18,0,0.0
4568,3W69,18,0,0.0
4569,3W6H,14,0,0.0
4570,3W6I,19,0,0.0
4571,3W6N,28,0,0.0
4572,3W6O,33,0,0.0
4573,3W6P,29,0,0.0
4574,3W6U,30,0,0.0
4575,3W6Z,33,0,0.0
4576,3W72,18,0,0.0
4577,3W73,31,0,0.0
4578,3W75,19,0,0.0
4579,3W77,20,0,0.0
4580,3W78,21,0,0.0
4581,3W79,21,0,0.0
4582,3W7G,16,8,0.5
4583,3W7H,17,0,0.0
4584,3W7J,19,11,0.5789473684210527
4585,3W7R,24,22,0.9166666666666666
4586,3W83,30,0,0.0
4587,3W86,31,0,0.0
4588,3W87,20,14,0.7
4589,3W88,20,23,1.15
4590,3W8D,34,0,0.0
4591,3W8E,33,0,0.0
4592,3W8F,33,0,0.0
4593,3W8K,16,0,0.0
4594,3W8N,12,0,0.0
4595,3W8O,21,0,0.0
4596,3W8P,13,0,0.0
4597,3W8Q,30,0,0.0
4598,3W8R,17,0,0.0
4599,3W8S,13,0,0.0
4600,3W8W,36,0,0.0
4601,3W8X,37,0,0.0
4602,3W8Z,37,0,0.0
4603,3W9F,9,0,0.0
4604,3W9H,22,0,0.0
4605,3W9J,21,0,0.0
4606,3W9R,19,0,0.0
4607,3W9Z,25,0,0.0
4608,3WA2,17,18,1.0588235294117647
4609,3WA3,17,0,0.0
4610,3WA4,13,0,0.0
4611,3WAB,18,0,0.0
4612,3WAG,19,0,0.0
4613,3WAH,23,11,0.4782608695652174
4614,3WAS,12,0,0.0
4615,3WAT,13,0,0.0
4616,3WAU,17,0,0.0
4617,3WAX,28,0,0.0
4618,3WAY,27,0,0.0
4619,3WAZ,8,0,0.0
4620,403D,12,0,0.0
4621,421D,5,0,0.0
4622,427D,2,3,1.5
4623,432D,10,0,0.0
4624,437D,1,0,0.0
4625,442D,13,0,0.0
4626,443D,15,0,0.0
4627,444D,16,0,0.0
4628,445D,14,0,0.0
4629,447D,13,0,0.0
4630,448D,13,0,0.0
4631,449D,13,0,0.0
4632,453D,13,0,0.0
4633,458D,5,0,0.0
4634,459D,15,0,0.0
4635,464D,4,0,0.0
4636,473D,13,0,0.0
4637,482D,3,0,0.0
4638,4A00,20,0,0.0
4639,4A03,32,0,0.0
4640,4A06,22,0,0.0
4641,4A08,13,0,0.0
4642,4A09,13,0,0.0
4643,4A0A,14,0,0.0
4644,4A0B,13,0,0.0
4645,4A0F,19,0,0.0
4646,4A0G,19,0,0.0
4647,4A0J,9,0,0.0
4648,4A0K,5,0,0.0
4649,4A0L,6,0,0.0
4650,4A0M,36,4,0.1111111111111111
4651,4A0N,8,0,0.0
4652,4A0R,18,0,0.0
4653,4A0Z,24,0,0.0
4654,4A14,14,0,0.0
4655,4A16,27,0,0.0
4656,4A1K,14,3,0.21428571428571427
4657,4A1O,26,0,0.0
4658,4A1W,8,0,0.0
4659,4A22,21,0,0.0
4660,4A29,16,8,0.5
4661,4A2A,26,0,0.0
4662,4A2B,25,0,0.0
4663,4A2J,25,0,0.0
4664,4A2M,15,0,0.0
4665,4A2N,23,0,0.0
4666,4A2R,16,5,0.3125
4667,4A2U,20,0,0.0
4668,4A2Z,40,0,0.0
4669,4A30,40,0,0.0
4670,4A31,40,0,0.0
4671,4A32,40,0,0.0
4672,4A33,40,0,0.0
4673,4A36,20,0,0.0
4674,4A39,13,0,0.0
4675,4A3B,9,0,0.0
4676,4A3C,7,0,0.0
4677,4A3D,7,0,0.0
4678,4A3E,18,0,0.0
4679,4A3F,17,0,0.0
4680,4A3G,9,0,0.0
4681,4A3H,21,0,0.0
4682,4A3I,7,0,0.0
4683,4A3J,19,0,0.0
4684,4A3K,8,0,0.0
4685,4A3L,17,0,0.0
4686,4A3M,15,0,0.0
4687,4A3Q,16,0,0.0
4688,4A3U,25,0,0.0
4689,4A44,9,0,0.0
4690,4A45,8,0,0.0
4691,4A49,14,0,0.0
4692,4A4A,18,0,0.0
4693,4A4L,25,0,0.0
4694,4A4O,24,0,0.0
4695,4A4Q,32,0,0.0
4696,4A4V,20,0,0.0
4697,4A4W,24,3,0.125
4698,4A4X,22,0,0.0
4699,4A4Z,17,0,0.0
4700,4A50,32,0,0.0
4701,4A51,16,0,0.0
4702,4A5A,24,0,0.0
4703,4A5T,2,0,0.0
4704,4A61,23,0,0.0
4705,4A62,27,0,0.0
4706,4A69,22,0,0.0
4707,4A6A,28,0,0.0
4708,4A6B,31,0,0.0
4709,4A6C,32,0,0.0
4710,4A6D,24,0,0.0
4711,4A6E,24,0,0.0
4712,4A6L,25,0,0.0
4713,4A6N,36,0,0.0
4714,4A6O,9,0,0.0
4715,4A6R,15,3,0.2
4716,4A6S,12,0,0.0
4717,4A6T,18,0,0.0
4718,4A6W,14,0,0.0
4719,4A6X,19,3,0.15789473684210525
4720,4A72,18,0,0.0
4721,4A79,47,0,0.0
4722,4A7A,49,0,0.0
4723,4A7B,21,0,0.0
4724,4A7C,19,0,0.0
4725,4A7I,20,0,0.0
4726,4A7J,16,0,0.0
4727,4A7P,34,0,0.0
4728,4A7Q,4,3,0.75
4729,4A7V,7,0,0.0
4730,4A7W,13,0,0.0
4731,4A7X,29,0,0.0
4732,4A80,18,0,0.0
4733,4A81,27,3,0.1111111111111111
4734,4A85,16,0,0.0
4735,4A86,18,0,0.0
4736,4A87,17,5,0.29411764705882354
4737,4A8H,21,0,0.0
4738,4A8K,15,0,0.0
4739,4A8Q,8,0,0.0
4740,4A8T,22,0,0.0
4741,4A8V,16,4,0.25
4742,4A8Y,8,0,0.0
4743,4A92,28,0,0.0
4744,4A93,12,0,0.0
4745,4A95,40,0,0.0
4746,4A97,19,0,0.0
4747,4A98,21,0,0.0
4748,4A9C,14,0,0.0
4749,4A9E,10,0,0.0
4750,4A9L,13,0,0.0
4751,4A9R,20,0,0.0
4752,4A9S,22,0,0.0
4753,4A9T,21,0,0.0
4754,4A9U,20,0,0.0
4755,4A9W,39,0,0.0
4756,4A9X,14,0,0.0
4757,4A9Y,25,0,0.0
4758,4AA0,27,3,0.1111111111111111
4759,4AA4,24,0,0.0
4760,4AA5,22,0,0.0
4761,4AA7,7,0,0.0
4762,4AA9,4,0,0.0
4763,4AAA,22,5,0.22727272727272727
4764,4AAC,23,0,0.0
4765,4AAH,23,0,0.0
4766,4AAP,14,0,0.0
4767,4AAW,8,0,0.0
4768,4AAX,8,0,0.0
4769,4AB1,4,0,0.0
4770,4AB4,24,0,0.0
4771,4AB7,16,0,0.0
4772,4AB8,18,3,0.16666666666666666
4773,4AB9,17,5,0.29411764705882354
4774,4ABA,14,5,0.35714285714285715
4775,4ABB,14,6,0.42857142857142855
4776,4ABD,14,4,0.2857142857142857
4777,4ABE,14,5,0.35714285714285715
4778,4ABF,15,4,0.26666666666666666
4779,4ABG,15,0,0.0
4780,4ABH,15,4,0.26666666666666666
4781,4ABI,7,0,0.0
4782,4ABJ,13,3,0.23076923076923078
4783,4ABK,29,0,0.0
4784,4ABQ,9,0,0.0
4785,4ABU,12,0,0.0
4786,4ABV,9,0,0.0
4787,4ABW,13,0,0.0
4788,4ABZ,19,3,0.15789473684210525
4789,4AC0,18,0,0.0
4790,4AC2,13,0,0.0
4791,4AC3,7,0,0.0
4792,4AC4,7,0,0.0
4793,4AC5,29,0,0.0
4794,4AC7,21,0,0.0
4795,4ACD,20,0,0.0
4796,4ACF,12,0,0.0
4797,4ACG,22,0,0.0
4798,4ACH,17,0,0.0
4799,4ACM,21,5,0.23809523809523808
4800,4ACP,5,0,0.0
4801,4ACS,15,0,0.0
4802,4ACT,9,0,0.0
4803,4ACU,25,3,0.12
4804,4ACX,24,0,0.0
4805,4AD2,12,0,0.0
4806,4AD3,12,0,0.0
4807,4AD6,15,3,0.2
4808,4ADB,16,0,0.0
4809,4ADC,18,3,0.16666666666666666
4810,4ADD,15,0,0.0
4811,4ADU,25,0,0.0
4812,4ADW,49,0,0.0
4813,4AE6,9,0,0.0
4814,4AEC,20,0,0.0
4815,4AEO,24,0,0.0
4816,4AF0,15,0,0.0
4817,4AF3,20,0,0.0
4818,4AF6,20,0,0.0
4819,4AF7,20,0,0.0
4820,4AFE,21,0,0.0
4821,4AFF,18,5,0.2777777777777778
4822,4AFT,15,0,0.0
4823,4AG3,34,3,0.08823529411764706
4824,4AG7,20,0,0.0
4825,4AG8,21,0,0.0
4826,4AG9,17,0,0.0
4827,4AGC,23,0,0.0
4828,4AGD,18,0,0.0
4829,4AGL,14,3,0.21428571428571427
4830,4AGM,14,0,0.0
4831,4AGU,26,0,0.0
4832,4AGW,29,0,0.0
4833,4AGZ,11,0,0.0
4834,4AH0,11,0,0.0
4835,4AH1,11,0,0.0
4836,4AH3,18,0,0.0
4837,4AH7,19,0,0.0
4838,4AH9,16,0,0.0
4839,4AI5,9,0,0.0
4840,4AI8,15,0,0.0
4841,4AIA,9,0,0.0
4842,4AII,18,0,0.0
4843,4AIL,10,0,0.0
4844,4AIU,18,0,0.0
4845,4AIW,1,0,0.0
4846,4AIZ,8,0,0.0
4847,4AJ3,28,0,0.0
4848,4AJA,22,0,0.0
4849,4AJB,21,0,0.0
4850,4AJC,15,0,0.0
4851,4AJF,13,0,0.0
4852,4AJI,18,0,0.0
4853,4AJM,17,0,0.0
4854,4AJR,27,0,0.0
4855,4AJS,15,0,0.0
4856,4AJW,18,0,0.0
4857,4AKC,9,0,0.0
4858,4AKG,29,0,0.0
4859,4AKH,53,0,0.0
4860,4AKI,29,0,0.0
4861,4AKJ,6,0,0.0
4862,4AKP,8,3,0.375
4863,4AKY,15,0,0.0
4864,4AL0,9,4,0.4444444444444444
4865,4AL1,12,3,0.25
4866,4ALB,19,0,0.0
4867,4ALG,14,0,0.0
4868,4ALJ,37,3,0.08108108108108109
4869,4ALK,37,3,0.08108108108108109
4870,4ALU,18,4,0.2222222222222222
4871,4ALV,22,4,0.18181818181818182
4872,4ALW,19,4,0.21052631578947367
4873,4ALX,17,0,0.0
4874,4AM7,25,0,0.0
4875,4AMA,19,0,0.0
4876,4AMB,22,0,0.0
4877,4AMF,15,3,0.2
4878,4AMG,10,0,0.0
4879,4AMV,21,0,0.0
4880,4AMW,16,3,0.1875
4881,4AMX,16,0,0.0
4882,4AMY,20,0,0.0
4883,4AMZ,20,0,0.0
4884,4AN0,20,0,0.0
4885,4AN1,19,0,0.0
4886,4AN2,27,0,0.0
4887,4AN3,28,0,0.0
4888,4AN4,23,3,0.13043478260869565
4889,4AN9,26,0,0.0
4890,4ANB,26,0,0.0
4891,4ANJ,26,0,0.0
4892,4ANM,19,0,0.0
4893,4ANP,17,3,0.17647058823529413
4894,4ANQ,19,0,0.0
4895,4ANS,19,0,0.0
4896,4ANU,18,0,0.0
4897,4ANV,21,0,0.0
4898,4ANW,24,0,0.0
4899,4ANX,21,0,0.0
4900,4AO5,12,3,0.25
4901,4AO9,17,0,0.0
4902,4AOA,22,0,0.0
4903,4AOB,17,0,0.0
4904,4AOC,14,3,0.21428571428571427
4905,4AOF,20,0,0.0
4906,4AOI,18,0,0.0
4907,4AOJ,24,0,0.0
4908,4AOK,14,3,0.21428571428571427
4909,4AOO,13,0,0.0
4910,4AOS,44,0,0.0
4911,4AOT,24,0,0.0
4912,4AOU,27,0,0.0
4913,4AOV,28,0,0.0
4914,4AOX,45,5,0.1111111111111111
4915,4AP0,22,0,0.0
4916,4AP1,43,0,0.0
4917,4AP3,43,3,0.06976744186046512
4918,4AP7,19,0,0.0
4919,4APP,27,0,0.0
4920,4APR,16,0,0.0
4921,4APU,28,0,0.0
4922,4APZ,16,0,0.0
4923,4AQ0,15,0,0.0
4924,4AQ3,26,0,0.0
4925,4AQ4,16,0,0.0
4926,4AQ6,16,0,0.0
4927,4AQ7,22,0,0.0
4928,4AQH,19,0,0.0
4929,4AQK,20,0,0.0
4930,4AQL,22,0,0.0
4931,4AQU,18,0,0.0
4932,4AQX,15,0,0.0
4933,4AR7,26,0,0.0
4934,4ARA,18,3,0.16666666666666666
4935,4ARI,22,0,0.0
4936,4ARK,24,0,0.0
4937,4ARW,17,0,0.0
4938,4ARZ,28,0,0.0
4939,4AS0,18,0,0.0
4940,4AS1,23,0,0.0
4941,4AS7,21,0,0.0
4942,4AS8,26,8,0.3076923076923077
4943,4AS9,21,0,0.0
4944,4ASA,20,3,0.15
4945,4ASB,22,3,0.13636363636363635
4946,4ASD,25,0,0.0
4947,4ASE,26,0,0.0
4948,4ASF,23,0,0.0
4949,4ASG,24,3,0.125
4950,4ASJ,17,0,0.0
4951,4ASK,21,0,0.0
4952,4ASL,8,3,0.375
4953,4ASU,19,0,0.0
4954,4ASX,20,3,0.15
4955,4ASY,18,0,0.0
4956,4AT0,48,0,0.0
4957,4AT2,48,0,0.0
4958,4AT3,21,0,0.0
4959,4AT4,22,0,0.0
4960,4AT5,25,0,0.0
4961,4AT8,17,0,0.0
4962,4AT9,19,0,0.0
4963,4ATJ,10,0,0.0
4964,4ATO,1,0,0.0
4965,4ATP,18,0,0.0
4966,4ATT,15,0,0.0
4967,4AU1,15,0,0.0
4968,4AU7,22,0,0.0
4969,4AU8,18,0,0.0
4970,4AUA,16,0,0.0
4971,4AUB,32,0,0.0
4972,4AUI,12,0,0.0
4973,4AUJ,15,0,0.0
4974,4AUT,41,0,0.0
4975,4AUX,17,0,0.0
4976,4AUY,15,3,0.2
4977,4AV0,17,0,0.0
4978,4AV4,14,0,0.0
4979,4AV5,15,0,0.0
4980,4AVA,24,3,0.125
4981,4AVC,24,0,0.0
4982,4AVG,18,0,0.0
4983,4AVH,17,0,0.0
4984,4AVI,15,0,0.0
4985,4AVJ,17,0,0.0
4986,4AVK,16,0,0.0
4987,4AVS,4,0,0.0
4988,4AVT,10,0,0.0
4989,4AVU,14,0,0.0
4990,4AVW,13,0,0.0
4991,4AVX,7,0,0.0
4992,4AW0,22,5,0.22727272727272727
4993,4AW1,23,3,0.13043478260869565
4994,4AW2,14,0,0.0
4995,4AW3,26,3,0.11538461538461539
4996,4AW5,21,4,0.19047619047619047
4997,4AWF,11,0,0.0
4998,4AWG,15,0,0.0
4999,4AWH,16,0,0.0
5000,4AWI,24,3,0.125
5001,4AWK,19,0,0.0
5002,4AWO,28,0,0.0
5003,4AWP,25,0,0.0
5004,4AWQ,23,0,0.0
5005,4AWS,29,6,0.20689655172413793
5006,4AWT,29,7,0.2413793103448276
5007,4AWU,29,3,0.10344827586206896
5008,4AX8,25,3,0.12
5009,4AXA,22,3,0.13636363636363635
5010,4AXD,23,0,0.0
5011,4AXE,21,0,0.0
5012,4AXF,26,0,0.0
5013,4AXM,21,0,0.0
5014,4AXX,29,0,0.0
5015,4AY2,19,0,0.0
5016,4AY5,28,0,0.0
5017,4AY6,36,0,0.0
5018,4AYJ,7,0,0.0
5019,4AYP,15,3,0.2
5020,4AYQ,15,4,0.26666666666666666
5021,4AYT,17,0,0.0
5022,4AYU,5,0,0.0
5023,4AYV,24,0,0.0
5024,4AYW,10,0,0.0
5025,4AYX,15,0,0.0
5026,4AYY,23,3,0.13043478260869565
5027,4AZ0,21,0,0.0
5028,4AZ2,24,0,0.0
5029,4AZ3,25,3,0.12
5030,4AZ5,13,0,0.0
5031,4AZ6,16,0,0.0
5032,4AZA,17,0,0.0
5033,4AZB,20,3,0.15
5034,4AZE,21,0,0.0
5035,4AZF,17,0,0.0
5036,4AZJ,18,0,0.0
5037,4AZK,18,0,0.0
5038,4AZP,24,0,0.0
5039,4AZQ,27,0,0.0
5040,4AZR,24,0,0.0
5041,4AZS,27,3,0.1111111111111111
5042,4AZT,27,3,0.1111111111111111
5043,4AZV,27,3,0.1111111111111111
5044,4AZW,24,0,0.0
5045,4AZY,23,0,0.0
5046,4B00,27,3,0.1111111111111111
5047,4B05,24,0,0.0
5048,4B0B,20,3,0.15
5049,4B0C,19,0,0.0
5050,4B0G,25,0,0.0
5051,4B0J,15,0,0.0
5052,4B0N,27,0,0.0
5053,4B0Q,23,0,0.0
5054,4B0S,29,0,0.0
5055,4B10,40,3,0.075
5056,4B11,41,0,0.0
5057,4B12,40,0,0.0
5058,4B13,38,0,0.0
5059,4B14,39,0,0.0
5060,4B17,19,0,0.0
5061,4B1B,48,0,0.0
5062,4B1C,21,0,0.0
5063,4B1D,22,0,0.0
5064,4B1E,20,0,0.0
5065,4B1I,28,0,0.0
5066,4B1J,27,0,0.0
5067,4B1R,18,5,0.2777777777777778
5068,4B1U,28,4,0.14285714285714285
5069,4B1V,29,3,0.10344827586206896
5070,4B1W,29,0,0.0
5071,4B1X,29,3,0.10344827586206896
5072,4B1Y,31,4,0.12903225806451613
5073,4B1Z,28,0,0.0
5074,4B21,7,0,0.0
5075,4B22,7,0,0.0
5076,4B23,7,0,0.0
5077,4B24,7,0,0.0
5078,4B2D,22,0,0.0
5079,4B2G,25,0,0.0
5080,4B2H,5,3,0.6
5081,4B2J,3,0,0.0
5082,4B2K,3,0,0.0
5083,4B2L,13,3,0.23076923076923078
5084,4B2M,3,0,0.0
5085,4B2P,18,0,0.0
5086,4B2W,17,0,0.0
5087,4B2X,18,0,0.0
5088,4B2Z,42,0,0.0
5089,4B30,25,4,0.16
5090,4B32,11,3,0.2727272727272727
5091,4B33,12,3,0.25
5092,4B34,12,3,0.25
5093,4B35,11,3,0.2727272727272727
5094,4B3A,17,0,0.0
5095,4B3C,10,3,0.3
5096,4B3M,14,0,0.0
5097,4B3O,18,0,0.0
5098,4B3Q,17,0,0.0
5099,4B3R,14,0,0.0
5100,4B3S,15,0,0.0
5101,4B3T,15,0,0.0
5102,4B3U,12,0,0.0
5103,4B42,15,0,0.0
5104,4B44,16,0,0.0
5105,4B45,27,0,0.0
5106,4B46,31,0,0.0
5107,4B47,17,3,0.17647058823529413
5108,4B48,17,0,0.0
5109,4B4A,5,0,0.0
5110,4B4B,11,0,0.0
5111,4B4D,23,0,0.0
5112,4B4G,17,0,0.0
5113,4B4M,18,0,0.0
5114,4B4O,30,3,0.1
5115,4B4Q,7,0,0.0
5116,4B4R,5,0,0.0
5117,4B4U,15,0,0.0
5118,4B4V,24,0,0.0
5119,4B4W,24,0,0.0
5120,4B4X,14,0,0.0
5121,4B4Z,10,0,0.0
5122,4B52,21,0,0.0
5123,4B55,13,0,0.0
5124,4B5B,17,0,0.0
5125,4B5F,14,0,0.0
5126,4B5G,16,0,0.0
5127,4B5H,17,0,0.0
5128,4B5I,17,0,0.0
5129,4B5J,15,0,0.0
5130,4B5M,17,0,0.0
5131,4B5N,25,3,0.12
5132,4B5O,27,5,0.18518518518518517
5133,4B5P,30,4,0.13333333333333333
5134,4B5Q,3,0,0.0
5135,4B5R,16,0,0.0
5136,4B5S,6,0,0.0
5137,4B5U,6,0,0.0
5138,4B5Y,26,3,0.11538461538461539
5139,4B63,37,0,0.0
5140,4B64,38,0,0.0
5141,4B65,35,3,0.08571428571428572
5142,4B66,36,0,0.0
5143,4B67,36,0,0.0
5144,4B68,36,0,0.0
5145,4B69,39,0,0.0
5146,4B6C,23,3,0.13043478260869565
5147,4B6E,12,0,0.0
5148,4B6F,13,0,0.0
5149,4B6L,23,0,0.0
5150,4B6O,19,0,0.0
5151,4B6P,19,0,0.0
5152,4B6Q,18,0,0.0
5153,4B6R,22,0,0.0
5154,4B6S,21,0,0.0
5155,4B70,19,0,0.0
5156,4B71,15,0,0.0
5157,4B72,23,0,0.0
5158,4B73,19,0,0.0
5159,4B74,22,0,0.0
5160,4B75,19,0,0.0
5161,4B76,15,0,0.0
5162,4B77,21,0,0.0
5163,4B78,21,3,0.14285714285714285
5164,4B79,31,0,0.0
5165,4B7B,15,0,0.0
5166,4B7D,19,0,0.0
5167,4B7E,15,0,0.0
5168,4B7K,14,3,0.21428571428571427
5169,4B7P,20,0,0.0
5170,4B7S,23,0,0.0
5171,4B7T,17,0,0.0
5172,4B7X,37,0,0.0
5173,4B85,18,3,0.16666666666666666
5174,4B8L,20,0,0.0
5175,4B8M,17,0,0.0
5176,4B8S,17,3,0.17647058823529413
5177,4B8U,22,0,0.0
5178,4B8W,35,0,0.0
5179,4B8X,15,0,0.0
5180,4B8Z,32,0,0.0
5181,4B95,14,0,0.0
5182,4B98,27,3,0.1111111111111111
5183,4B99,22,0,0.0
5184,4B9B,18,3,0.16666666666666666
5185,4B9D,16,0,0.0
5186,4B9L,15,0,0.0
5187,4B9M,13,0,0.0
5188,4B9N,11,0,0.0
5189,4B9O,15,0,0.0
5190,4B9Q,27,0,0.0
5191,4B9S,8,0,0.0
5192,4B9T,12,0,0.0
5193,4B9U,14,0,0.0
5194,4B9V,9,0,0.0
5195,4B9W,12,0,0.0
5196,4B9Z,20,0,0.0
5197,4BA0,15,0,0.0
5198,4BA5,19,7,0.3684210526315789
5199,4BAA,16,0,0.0
5200,4BAB,17,0,0.0
5201,4BAG,11,0,0.0
5202,4BAH,23,3,0.13043478260869565
5203,4BAK,24,0,0.0
5204,4BAM,23,0,0.0
5205,4BAN,23,0,0.0
5206,4BAO,23,0,0.0
5207,4BAQ,24,0,0.0
5208,4BAS,27,0,0.0
5209,4BAY,45,0,0.0
5210,4BB2,13,0,0.0
5211,4BB3,18,0,0.0
5212,4BB4,20,0,0.0
5213,4BB9,22,0,0.0
5214,4BBE,19,0,0.0
5215,4BBF,24,0,0.0
5216,4BBG,16,0,0.0
5217,4BBH,41,0,0.0
5218,4BBJ,15,0,0.0
5219,4BBM,22,0,0.0
5220,4BBO,18,0,0.0
5221,4BBP,20,0,0.0
5222,4BBT,17,0,0.0
5223,4BBU,15,0,0.0
5224,4BBV,14,0,0.0
5225,4BBX,18,0,0.0
5226,4BBY,39,0,0.0
5227,4BC2,8,0,0.0
5228,4BC6,23,0,0.0
5229,4BC7,40,0,0.0
5230,4BC9,40,0,0.0
5231,4BCA,40,0,0.0
5232,4BCB,19,0,0.0
5233,4BCC,21,0,0.0
5234,4BCD,18,0,0.0
5235,4BCF,19,0,0.0
5236,4BCG,20,0,0.0
5237,4BCH,19,0,0.0
5238,4BCI,18,0,0.0
5239,4BCJ,17,0,0.0
5240,4BCS,18,0,0.0
5241,4BCW,16,0,0.0
5242,4BD0,15,3,0.2
5243,4BDA,12,0,0.0
5244,4BDB,12,0,0.0
5245,4BDC,15,0,0.0
5246,4BDD,14,0,0.0
5247,4BDE,13,0,0.0
5248,4BDF,14,0,0.0
5249,4BDG,13,0,0.0
5250,4BDH,12,0,0.0
5251,4BDI,15,0,0.0
5252,4BDJ,14,0,0.0
5253,4BDK,15,0,0.0
5254,4BDM,16,0,0.0
5255,4BDO,16,0,0.0
5256,4BDR,16,0,0.0
5257,4BDU,24,0,0.0
5258,4BDY,9,0,0.0
5259,4BDZ,9,0,0.0
5260,4BE0,10,0,0.0
5261,4BE1,9,0,0.0
5262,4BE2,12,0,0.0
5263,4BE7,25,0,0.0
5264,4BEB,25,0,0.0
5265,4BEC,23,0,0.0
5266,4BEI,13,0,0.0
5267,4BEK,13,0,0.0
5268,4BEM,8,0,0.0
5269,4BEN,15,0,0.0
5270,4BEQ,14,0,0.0
5271,4BER,17,0,0.0
5272,4BES,17,0,0.0
5273,4BET,19,0,0.0
5274,4BEU,16,0,0.0
5275,4BEW,17,0,0.0
5276,4BF1,18,0,0.0
5277,4BF4,18,0,0.0
5278,4BF5,16,0,0.0
5279,4BF6,14,0,0.0
5280,4BF7,4,0,0.0
5281,4BF9,23,0,0.0
5282,4BFA,26,3,0.11538461538461539
5283,4BFD,21,3,0.14285714285714285
5284,4BFM,25,0,0.0
5285,4BFP,22,0,0.0
5286,4BFR,19,0,0.0
5287,4BFS,21,0,0.0
5288,4BFT,19,0,0.0
5289,4BFU,20,0,0.0
5290,4BFV,20,0,0.0
5291,4BFW,22,0,0.0
5292,4BFX,20,0,0.0
5293,4BFY,22,0,0.0
5294,4BFZ,22,0,0.0
5295,4BG1,14,0,0.0
5296,4BG4,22,0,0.0
5297,4BG6,9,0,0.0
5298,4BGB,20,3,0.15
5299,4BGD,15,0,0.0
5300,4BGE,22,0,0.0
5301,4BGG,22,0,0.0
5302,4BGH,20,3,0.15
5303,4BGI,25,0,0.0
5304,4BGK,15,0,0.0
5305,4BGM,16,0,0.0
5306,4BGP,12,4,0.3333333333333333
5307,4BGQ,19,0,0.0
5308,4BH1,17,0,0.0
5309,4BH6,7,0,0.0
5310,4BHF,15,0,0.0
5311,4BHG,15,0,0.0
5312,4BHI,15,0,0.0
